client_id,target
test_Client_0,0.036894279141943355
test_Client_1,0.18844911663312744
test_Client_10,0.03171011017754237
test_Client_100,0.005559852923049911
test_Client_1000,0.06503447066548275
test_Client_10000,0.03693818768819106
test_Client_10001,0.00866631303146841
test_Client_10002,0.41202489545494014
test_Client_10003,0.014174571384322782
test_Client_10004,0.048802800810638466
test_Client_10005,0.005435703796510016
test_Client_10006,0.0018128429774741397
test_Client_10007,0.059767920089307425
test_Client_10008,0.028414072763445097
test_Client_10009,0.08291563977959901
test_Client_1001,0.1746263769975116
test_Client_10010,0.02441837556674862
test_Client_10011,0.024169002775716316
test_Client_10012,0.01696764190682294
test_Client_10013,0.03654666381671995
test_Client_10014,0.014274599882804804
test_Client_10015,0.03937305406767962
test_Client_10016,0.036612856836259346
test_Client_10017,0.0643715083838479
test_Client_10018,0.04985465262877169
test_Client_10019,0.06760290544917427
test_Client_1002,0.034677044421191364
test_Client_10020,0.010998041311355983
test_Client_10021,0.14082032149979354
test_Client_10022,0.13322034659133863
test_Client_10023,0.2073824613757552
test_Client_10024,0.017416907705732582
test_Client_10025,0.05707078460157581
test_Client_10026,0.001545113542389526
test_Client_10027,0.0923286234987977
test_Client_10028,0.06553655264442107
test_Client_10029,0.08316710100492226
test_Client_1003,0.01524554081109999
test_Client_10030,0.027343855607423855
test_Client_10031,0.035262607074643675
test_Client_10032,0.00404349244647431
test_Client_10033,0.012809920234610288
test_Client_10034,0.018182574277187995
test_Client_10035,0.055747850577623034
test_Client_10036,0.06653489162078838
test_Client_10037,0.14651235018901257
test_Client_10038,0.011746285528856404
test_Client_10039,0.0046868523508245665
test_Client_1004,0.11959706099061543
test_Client_10040,0.07161477206445152
test_Client_10041,0.020514582062661622
test_Client_10042,0.15780614584302005
test_Client_10043,0.03974654205472673
test_Client_10044,0.03649139934478847
test_Client_10045,0.04466747164491227
test_Client_10046,0.01344496575782716
test_Client_10047,0.05693055856292326
test_Client_10048,0.04633216761062521
test_Client_10049,0.12792330369123597
test_Client_1005,0.0019013657210440716
test_Client_10050,0.0018964641831536511
test_Client_10051,0.11902719654083475
test_Client_10052,0.00514214198131896
test_Client_10053,0.17267721374885264
test_Client_10054,0.09197462794194353
test_Client_10055,0.046310553400463125
test_Client_10056,0.22899751163498153
test_Client_10057,0.04184376539580132
test_Client_10058,0.002774629363387943
test_Client_10059,0.0035896850211517874
test_Client_1006,0.058385033147094735
test_Client_10060,0.10822480058125628
test_Client_10061,0.0060338754422098176
test_Client_10062,0.08747686629101792
test_Client_10063,0.09308990912824704
test_Client_10064,0.044830336577810145
test_Client_10065,0.0143370867224909
test_Client_10066,0.12228668621186978
test_Client_10067,0.006223624024793924
test_Client_10068,0.0015700014180219859
test_Client_10069,0.001913676990606987
test_Client_1007,0.017631695522047287
